time,open,high,low,close,tick_volume,spread,real_volume,1HMA,2HMA,HMA1,HMA2,HO,HH,HL,HC,CRSIG,RSIVAL,volume,typical_price,prev_typical_price,prev_close,tr1,tr2,tr3,tr,TR,ATR,TP,MF,PMF,NMF,MFI,mfi,ma_fast,ma_slow,signal,signal1,signal2,signal3,signal4,position,position1,position2,position3,position4
2022-12-29 00:00:00,1.06091,1.06106,1.06055,1.06071,8,41,0,1.06071,1.06071,1.06071,1.06071,1.06091,1.06106,1.06055,1.06071,0.0,,8,1.0607733333333333,,,0.0005099999999997884,,,0.0005099999999997884,0.0005099999999997884,,1.0607733333333333,8.486186666666667,0.0,0.0,,,,,0,0,0,0,0,,,,,
2022-12-29 00:05:00,1.06071,1.06115,1.06071,1.06115,8,37,0,1.0608403763781273,1.0607921032949308,1.0608403763781273,1.0607921032949308,1.0608744051226193,1.0610760182335814,1.0605784770910989,1.0607883145434676,1.0,,8,1.0610033333333333,1.0607733333333333,1.06071,0.00043999999999999595,0.00043999999999999595,0.0,0.00043999999999999595,0.00043999999999999595,,1.0610033333333333,8.488026666666666,8.488026666666666,0.0,,,,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2022-12-29 00:10:00,1.06115,1.06115,1.06065,1.06115,11,37,0,1.0609369198163978,1.0608541304107109,1.0609369198163978,1.0608541304107109,1.0608801750112982,1.0610880589476583,1.0605954473552859,1.0608471816687477,1.0,,11,1.0609833333333334,1.0610033333333333,1.06115,0.0004999999999999449,0.0,0.0004999999999999449,0.0004999999999999449,0.0004999999999999449,,1.0609833333333334,11.670816666666667,0.0,0.0,,,,,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-29 00:15:00,1.0611,1.06115,1.06084,1.06087,10,38,0,1.0609647300822158,1.0608898115460144,1.0609647300822158,1.0608898115460144,1.0608966627280874,1.061097634577866,1.060615207302692,1.0608819411285466,1.0,,10,1.0609533333333334,1.0609833333333334,1.06115,0.00031000000000003247,0.0,0.00031000000000003247,0.00031000000000003247,0.00031000000000003247,,1.0609533333333334,10.609533333333335,0.0,10.609533333333335,,,,,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-29 00:20:00,1.06111,1.06124,1.061,1.0611,14,38,0,1.0609902569589873,1.0609173431028478,1.0609902569589873,1.0609173431028478,1.060916449371078,1.0611081983985888,1.0606410775994535,1.0609087490369116,1.0,,14,1.0611133333333331,1.0609533333333334,1.06087,0.00024000000000001798,0.00036999999999998145,0.00012999999999996348,0.00036999999999998145,0.00024000000000001798,,1.0611133333333331,14.855586666666664,14.855586666666664,0.0,,,,,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-29 00:25:00,1.06119,1.06124,1.0611,1.0612,9,38,0,1.0610297535766295,1.060943795876325,1.0610297535766295,1.060943795876325,1.0609386012329718,1.0611195087371377,1.0606728250601878,1.0609339428218498,1.0,,9,1.06118,1.0611133333333331,1.0611,0.000140000000000029,0.000140000000000029,0.0,0.000140000000000029,0.000140000000000029,,1.06118,9.55062,9.55062,0.0,,,,,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-29 00:30:00,1.06117,1.06133,1.06105,1.0611,233,32,0,1.0610596974557476,1.0609676915350243,1.0610596974557476,1.0609676915350243,1.0609613425223152,1.0611327713666447,1.0607070269232604,1.060956667450375,1.0,66.95652173912589,233,1.06116,1.06118,1.0612,0.000280000000000058,0.00013000000000018552,0.00014999999999987246,0.000280000000000058,0.000280000000000058,,1.06116,247.25028000000003,0.0,247.25028000000003,,,,,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-29 00:35:00,1.0611,1.06112,1.06096,1.06112,118,36,0,1.0610810056089524,1.0609891296714067,1.0610810056089524,1.0609891296714067,1.0609824408919253,1.0611440312570062,1.0607400321801885,1.0609771476766663,1.0,67.5213675213667,118,1.0610666666666668,1.06116,1.0611,0.00016000000000016001,2.0000000000131024e-05,0.000140000000000029,0.00016000000000016001,0.00016000000000016001,,1.0610666666666668,125.20586666666668,125.20586666666668,0.0,,,,,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-29 00:40:00,1.06108,1.06118,1.06108,1.06118,16,31,0,1.0611029982739892,1.0610093895581865,1.0611029982739892,1.0610093895581865,1.0610008759699572,1.061153212745579,1.060772232814162,1.060996456225513,1.0,51.89873417721341,16,1.0611466666666667,1.0610666666666668,1.06112,9.999999999998899e-05,5.999999999994898e-05,4.0000000000040004e-05,9.999999999998899e-05,9.999999999998899e-05,,1.0611466666666667,16.978346666666667,16.978346666666667,0.0,,,1.0610644444444446,,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-29 00:45:00,1.06118,1.06121,1.06116,1.0612,13,31,0,1.0611262132373884,1.0610290838521326,1.0611262132373884,1.0610290838521326,1.0610179037314436,1.0611609420552368,1.0608045323512918,1.061015145987626,1.0,53.086419753079305,13,1.06119,1.0611466666666667,1.06118,4.999999999988347e-05,2.999999999997449e-05,1.999999999990898e-05,4.999999999988347e-05,4.999999999988347e-05,,1.06119,13.795470000000002,13.795470000000002,0.0,,,1.061118888888889,,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
